....
2016-08-11 16:06:00.46 INFO started monitoring 3635 directories.
2016-08-11 16:18:48.423 INFO added "/home/shalaev/PA6OTA/DOKYMEHTbI/mail/inbox/new/msg.ipUQ" to the database
2016-08-11 16:18:48.488 INFO added "/home/shalaev/PA6OTA/DOKYMEHTbI/mail/inbox/new/msg.kpUQ" to the database
2016-08-11 16:58:15.301 INFO added "/home/shalaev/PA6OTA/DOKYMEHTbI/mail/cazzate/new/msg.hpUQ" to the database
2016-08-11 17:16:49.621 INFO added "/home/shalaev/PA6OTA/DOKYMEHTbI/mail/_sGD.BtOrXB.theorie13" to the database
2016-08-11 17:16:49.954 INFO added "/home/shalaev/PA6OTA/DOKYMEHTbI/mail/inbox/_sGD,BtOrXB.theorie13" to the database
2016-08-11 17:16:50.18 INFO added "/home/shalaev/PA6OTA/DOKYMEHTbI/mail/inbox/new/msg.8rUQ" to the database
2016-08-11 17:16:50.83 INFO added "/home/shalaev/PA6OTA/DOKYMEHTbI/mail/inbox/new/_sGD+BtOrXB.theorie13" to the database
2016-08-11 17:16:50.278 INFO added "/home/shalaev/PA6OTA/DOKYMEHTbI/mail/from" to the database
2016-08-11 17:16:50.410 INFO added "/home/shalaev/PA6OTA/DOKYMEHTbI/mail/_3GD.BtOrXB.theorie13" to the database
2016-08-11 17:16:50.669 INFO added "/home/shalaev/PA6OTA/DOKYMEHTbI/mail/inbox/_3GD,BtOrXB.theorie13" to the database
2016-08-11 17:16:50.734 INFO added "/home/shalaev/PA6OTA/DOKYMEHTbI/mail/inbox/new/msg.FwUQ" to the database
2016-08-11 17:16:50.799 INFO added "/home/shalaev/PA6OTA/DOKYMEHTbI/mail/inbox/new/_3GD+BtOrXB.theorie13" to the database
2016-08-11 17:45:40.537 INFO added "/home/shalaev/PA6OTA/TEKCT/impurities_in_Si/maxima/big/params.max" to the database
2016-08-11 17:45:40.928 INFO added "/home/shalaev/PA6OTA/TEKCT/impurities_in_Si/reproduce-figures.max" to the database
2016-08-11 17:45:41.123 INFO added "/home/shalaev/PA6OTA/TEKCT/impurities_in_Si/maxima/big/ranges.max" to the database
2016-08-11 17:45:41.508 INFO added "/home/shalaev/PA6OTA/TEKCT/impurities_in_Si/maxima/big/max/header.max" to the database
